Year;Month;Day;MOI
1948;1;1;0.631
1948;1;2;1.462
1948;1;3;2.138
1948;1;4;1.704
1948;1;5;1.15
1948;1;6;0.56
1948;1;7;-2.38
1948;1;8;-1.207
1948;1;9;0.749
1948;1;10;0.385
1948;1;11;0.47
1948;1;12;0.681
1948;1;13;1.73
1948;1;14;0.469
1948;1;15;0.191
1948;1;16;-2.447
1948;1;17;-2.22
1948;1;18;0.972
1948;1;19;0.313
1948;1;20;0.263
1948;1;21;0.202
1948;1;22;0.187
1948;1;23;-1.513
1948;1;24;-1.98
1948;1;25;-1.628
1948;1;26;-2.273
1948;1;27;-2.412
1948;1;28;-1.56
1948;1;29;0.96
1948;1;30;1.287
1948;1;31;0.266
1948;2;1;1.57
1948;2;2;2.39
1948;2;3;1.604
1948;2;4;0.546
1948;2;5;1.3
1948;2;6;0.806
1948;2;7;1.142
1948;2;8;1.232
1948;2;9;2.34
1948;2;10;1.49
1948;2;11;1.946
1948;2;12;1.657
1948;2;13;1.117
1948;2;14;1.128
1948;2;15;1.574
1948;2;16;1.782
1948;2;17;0.123
1948;2;18;0.673
1948;2;19;-1.309
1948;2;20;-3.41
1948;2;21;-2.367
1948;2;22;-1.259
1948;2;23;-1.446
1948;2;24;-2.137
1948;2;25;-2.372
1948;2;26;-2.127
1948;2;27;-1.503
1948;2;28;0.805
1948;2;29;-1.473
1948;3;1;-1.149
1948;3;2;0.331
1948;3;3;0.571
1948;3;4;0.653
1948;3;5;1.257
1948;3;6;1.726
1948;3;7;1.899
1948;3;8;1.347
1948;3;9;1.19
1948;3;10;0.509
1948;3;11;0.286
1948;3;12;0.875
1948;3;13;0.941
1948;3;14;1.844
1948;3;15;2.396
1948;3;16;2.63
1948;3;17;0.271
1948;3;18;0.467
1948;3;19;0.251
1948;3;20;0.59
1948;3;21;0.336
1948;3;22;0.81
1948;3;23;0.708
1948;3;24;-1.901
1948;3;25;-2.152
1948;3;26;-1.478
1948;3;27;0.593
1948;3;28;1.449
1948;3;29;1.911
1948;3;30;0.576
1948;3;31;0.638
1948;4;1;0.924
1948;4;2;0.31
1948;4;3;0.375
1948;4;4;0.74
1948;4;5;-1.67
1948;4;6;-1.76
1948;4;7;0.792
1948;4;8;0.155
1948;4;9;0.454
1948;4;10;0.19
1948;4;11;0.725
1948;4;12;-1.524
1948;4;13;-1.951
1948;4;14;-1.316
1948;4;15;-1.694
1948;4;16;-2.634
1948;4;17;-2.38
1948;4;18;0.76
1948;4;19;0.244
1948;4;20;0.9
1948;4;21;0.116
1948;4;22;0.901
1948;4;23;1.122
1948;4;24;0.416
1948;4;25;0.85
1948;4;26;0.813
1948;4;27;0.17
1948;4;28;0.922
1948;4;29;0.643
1948;4;30;0.316
1948;5;1;0.467
1948;5;2;0.19
1948;5;3;1.38
1948;5;4;0.78
1948;5;5;0.74
1948;5;6;0.305
1948;5;7;0.396
1948;5;8;0.414
1948;5;9;0.172
1948;5;10;0.437
1948;5;11;-1.553
1948;5;12;-2.72
1948;5;13;-1.433
1948;5;14;0.23
1948;5;15;0.71
1948;5;16;0.218
1948;5;17;0.989
1948;5;18;0.668
1948;5;19;0.293
1948;5;20;0.543
1948;5;21;0.185
1948;5;22;0.121
1948;5;23;0.914
1948;5;24;0.995
1948;5;25;0.228
1948;5;26;0.448
1948;5;27;0.631
1948;5;28;0.484
1948;5;29;0.536
1948;5;30;0.905
1948;5;31;0.2
1948;6;1;0.213
